iter,workload,rt
436,1720,405.99
437,1310,392.3
438,1580,433.43
439,1220,414.06
440,1220,411.74
441,1990,421.69
442,980,439.05
443,1630,405
444,1780,406
445,1510,392.31
446,1260,385.61
447,1580,392.23
448,1470,397.31
449,1440,397
450,1690,399.31
451,1210,386.32
452,1690,409.89
453,1510,392.97
454,1400,403.07
455,1560,401.64
456,1720,397.78
457,1340,404.49
458,1660,375.02
459,1580,402.45
460,1490,385.15
461,1440,385.32
462,1470,395.08
463,1510,393.62
464,1570,392.09
465,1290,406.34
466,1000,406.48
467,2180,440.85
468,1670,383.73
469,1210,421.37
470,1340,378.71
471,1550,365.12
472,1360,429.38
473,1940,427.05
474,1390,361.72
475,1400,393.98
476,1550,393.83
477,1340,386.65
478,1810,415.63
479,1360,401.53
480,1460,383.04
481,1450,394.9
482,1500,387.71
483,1620,398.2
484,1560,410.9
485,1610,391.11
486,1360,374.83
487,1590,401.07
488,1400,398.51
489,1620,402.2
490,1420,390.5
491,1530,399.19
492,1480,399.61
493,1360,403.64
494,1530,409.78
495,1690,404.02
496,1230,395.74
497,1560,419.91
498,1570,405.25
499,1630,390.07
500,1360,401.93
501,1670,392.47
502,1270,381.18
503,1860,406.79
504,1300,394.75
505,1510,391.59
506,1620,381.65
507,1350,398.84
508,1500,412.6
509,1520,392.43
510,1810,414.53
511,1400,369.38
512,1510,369.33
513,1710,389
514,1550,377.66
515,1300,395.42
516,1500,400.45
517,1480,398.04
518,1750,398.35
519,1370,415.92
520,1110,403.85
521,1780,385.33
522,1670,415.09
523,1270,416.63
524,1770,375.78
525,1520,387.14
526,1310,410.72
527,1530,383.1
528,1550,398.71
529,1620,397.15
530,1490,409.68
531,1680,398.07
532,1030,374.79
533,1680,396.37
534,1500,403.89
535,1320,406.91
536,1640,426.28
537,1600,382.75
538,1250,411
539,1510,397.11
540,1630,395.23
541,1580,423.18
542,1310,408.28
543,1640,380.72
544,1720,390.83
545,1170,393.05
546,1530,377.94
547,1680,394.43
548,1560,405.28
549,1170,395.39
550,1550,422.96
551,1570,418.58
552,1590,405.63
553,1170,386.47
554,1490,384.98
555,1450,392.98
556,1390,397.33
557,1450,423.09
558,1650,387.98
559,1170,394.05
560,1740,380.78
561,1520,385.13
562,1180,372.31
563,1520,376.96
564,1630,402.56
565,1270,396.74
566,1300,400.89
567,1160,365
568,1440,395.58
569,1650,391.33
570,1220,419.49
571,1090,380.67
572,1420,394.35
573,1310,395.51
574,1290,422.93
575,1240,397.39
576,1050,400.21
577,1320,423.98
578,1130,409.91
579,1580,410.04
580,1330,399.96
581,910,393.23
582,1300,386.07
583,1560,413.54
584,1090,397.21
585,1100,397.72
586,1230,381.2
587,1390,405.87
588,1180,408.48
589,1320,378.05
590,1230,382.17
591,970,378.19
592,1350,394.89
593,1180,380.28
594,1140,408.39
595,930,371.97
596,1360,388.09
597,1300,400.89
598,1010,382.45
599,1020,395.67
600,1270,394.17
601,1260,378.64
602,1010,392.73
603,1160,374.3
604,1060,389.33
605,1140,399.95
606,850,413.15
607,1180,403.86
608,1320,390.42
609,940,390.41
610,930,410.97
611,1080,378.43
612,1100,400.19
613,1080,428.58
614,1160,390.35
615,890,374
616,940,397.48
617,1210,397.27
618,1050,406.28
619,720,412.25
620,1080,394.03
621,1030,392.91
622,1090,407.49
623,1120,394.87
624,820,365.7
625,1170,395.81
626,1070,390.56
627,870,378.53
628,1000,408.91
629,780,366.09
630,1400,410.73
631,760,400.56
632,980,366.37
633,950,388.88
634,1040,402.71
635,790,419.64
636,900,385.27
637,1090,390.31
638,940,407.06
639,650,388.5
640,1050,414.56
641,1070,382.21
642,890,412.23
643,630,403.14
644,1050,388.97
645,970,390.15
646,900,411.52
647,1020,369.03
648,820,392.24
649,620,388.44
650,1130,386.94
651,910,407.28
652,940,408.32
653,530,411.67
654,1050,384.78
655,1050,425.09
656,920,389.61
657,950,370.48
658,810,391.27
659,810,392.41
660,820,398.9
661,1210,420.69
662,770,396.96
663,930,430.3
664,720,380.59
665,1000,409.46
666,980,407.56
667,740,407.29
668,1170,401.41
669,800,415.54
670,950,397.45
671,840,421.81
672,1010,389.03
673,1190,393.34
674,560,424.42
675,1000,383.33
676,1130,400.11
677,1040,393.21
678,770,392.08
679,1120,376.67
680,910,398.93
681,1030,408.76
682,800,396.78
683,1080,410.69
684,970,398.77
685,1050,380.38
686,970,413.31
687,760,388.26
688,1030,391.77
689,1210,401.67
690,970,403.23
691,760,406.44
692,880,401.17
693,1120,387.5
694,1140,427.62
695,860,383.1
696,900,386.35
697,1240,404.32
698,910,390.39
699,950,420.06
700,1080,383.97
701,810,404.58
702,950,397.89
703,840,415.36
704,940,403.15
705,1040,410.27
706,760,386.21
707,940,392.76
708,380,405.83
709,600,493.29
710,1550,445.15
711,630,419.25
712,480,439.29
713,690,377.56
714,800,372.3
715,1060,441.94
716,710,414.06
717,760,362.24
718,560,366.63
719,870,400.94
720,790,419.29
721,530,410.47
722,630,398.24
723,730,416.28
724,610,416.05
725,660,411.18
726,570,399.84
727,700,392.23
728,630,397.1
729,590,389.35
730,580,385.44
731,520,398.39
732,420,401.38
733,790,420.43
734,460,406
735,430,417
736,600,402.19
737,520,376.5
738,380,401.77
739,510,424.72
740,450,367.19
741,510,433.35
742,370,398.07
743,460,361.06
744,450,409.07
745,370,392.58
746,420,384.56
747,330,406
748,610,388.19
749,310,389.1
750,270,363.11
751,550,366.41
752,410,351.33
753,310,434.67
754,430,384.4
755,390,386.42
756,540,406.67
757,310,379.5
758,290,382.2
759,470,403
760,530,401.44
761,330,404.64
762,370,383.17
763,500,387.5
764,470,381.87
765,420,418.4
766,320,363.4
767,540,381.71
768,450,409.44
769,260,381.25
770,520,414
771,480,390.53
772,470,421.8
773,340,381.7
774,420,397.25
775,490,413.57
776,560,391.35
777,320,385.33
778,700,387.92
779,230,380.43
780,440,400.21
781,670,380.91
782,460,373.33
783,350,418.83
784,470,370.36
785,510,406
786,620,420.5
787,390,402.58
788,560,360.78
789,540,365.89
790,430,378
791,430,385
792,420,424.62
793,730,381.77
794,520,400.39
795,310,374
796,610,378.66
797,630,400.43
798,440,406.07
799,430,399.14
800,470,385.38
801,390,381
802,620,444.84
803,530,424.4
804,560,382.42
805,490,388.36
806,560,398.75
807,560,376.72
808,570,394.7
