iteration,workload,measured-rt(average)
514,719,2286
515,703,2418
516,723,2234
517,812,1280
518,766,2000
519,738,2000
520,827,2000
521,804,3122
522,733,2050
523,3336,3276
524,774,4000
525,807,4000
526,770,4000
527,738,4000
528,762,4000
529,687,4000
530,763,4000
531,750,4000
532,708,4000
533,2100,4000
534,733,4000
535,722,4000
536,690,4000
537,709,4000
538,691,4000
539,722,4000
540,734,4000
541,766,4000
542,704,4000
543,747,4000
544,717,4000
545,3428,4000
546,773,3276
547,750,3276
548,724,3276
549,735,2935
550,726,2778
551,689,2778
552,1593,3276
553,753,4000
554,752,4000
555,759,4000
556,766,4000
557,729,4000
558,737,4000
559,769,4000
560,728,4000
561,1054,4000
562,723,4000
563,733,4000
564,747,4000
565,810,4000
566,793,4000
567,765,4000
568,769,4000
569,661,4000
570,662,4000
571,825,4000
572,668,4000
573,684,4000
574,762,4000
575,751,4000
576,1692,4000
577,751,4000
578,743,4000
579,731,4000
580,756,4000
581,2190,4000
582,790,4000
583,749,4000
584,778,4000
585,737,4000
586,767,4000
587,749,4000
588,742,4000
589,1861,4000
590,758,4000
591,749,4000
592,747,4000
593,757,4000
594,1703,4000
595,758,4000
596,800,4000
597,817,4000
598,785,4000
599,717,4000
600,804,4000
601,814,4000
602,752,4000
603,749,4000
604,2424,4000
605,793,4000
606,763,4000
607,777,4000
608,757,4000
609,759,4000
610,815,4000
611,763,4000
612,826,4000
613,800,4000
614,2494,4000
615,810,4000
616,837,4000
617,797,4000
618,833,4000
619,762,4000
620,784,4000
621,874,4000
622,807,4000
623,2622,4000
624,1345,4000
625,877,4000
626,881,4000
627,887,4000
628,873,4000
629,2320,4000
630,880,4000
631,838,4000
632,825,4000
633,874,4000
634,2355,4000
635,866,4000
636,903,4000
637,845,4000
638,2624,4000
639,866,4000
640,886,4000
641,886,4000
642,895,4000
643,850,4000
644,891,4000
645,953,4000
646,878,4000
647,2788,4000
648,868,4000
649,924,4000
650,880,4000
651,874,4000
652,3725,4000
653,1050,4000
654,937,4000
655,897,4000
656,960,4000
657,1114,4000
658,905,4000
659,920,4000
660,1032,4000
661,947,4000
662,4228,4000
663,932,4000
664,916,4000
665,889,4000
666,1906,4000
667,979,4000
668,904,4000
669,939,4000
670,897,4000
671,965,4000
672,932,4000
673,954,4000
674,959,4000
675,1261,4000
676,934,4000
677,914,4000
678,995,4000
679,969,4000
680,945,4000
681,929,4000
682,940,4000
683,938,4000
684,996,4000
685,1015,4000
686,988,4000
687,951,4000
688,1033,4000
689,989,4000
690,1651,4000
691,1003,4000
692,931,4000
693,908,4000
694,906,4000
695,935,4000
696,943,4000
697,1017,4000
698,957,4000
699,2398,4000
700,970,4000
701,1037,4000
702,944,4000
703,957,4000
704,874,4000
705,952,4000
706,943,4000
707,2986,4000
708,945,4000
709,1004,4000
710,962,4000
711,903,4000
712,2759,4000
713,911,4000
714,994,4000
715,959,4000
716,912,4000
717,942,4000
718,970,4000
719,955,4000
720,2687,4000
721,943,4000
722,953,4000
723,984,4000
724,913,4000
725,933,4000
726,912,4000
727,964,4000
728,927,4000
729,951,4000
730,5356,4000
731,900,4000
732,945,4000
733,2149,4000
734,912,4000
735,937,4000
736,873,4000
737,919,4000
738,2227,4000
739,991,4000
740,971,4000
741,896,4000
742,909,4000
743,936,4000
744,921,4000
745,926,4000
746,908,4000
747,937,4000
748,1175,4000
749,933,4000
750,910,4000
751,904,4000
752,917,4000
753,2977,4000
754,906,4000
755,927,4000
756,952,4000
757,938,4000
758,898,4000
759,878,4000
760,985,4000
761,892,4000
762,945,4000
763,4766,4000
764,949,4000
765,917,4000
766,897,4000
767,921,4000
768,907,4000
769,3272,4000
770,940,4000
771,914,4000
772,907,4000
773,906,4000
774,4077,4000
775,899,4000
776,885,4000
777,938,4000
778,938,4000
779,946,4000
780,936,4000
781,898,4000
782,886,4000
783,896,4000
784,1497,4000
785,905,4000
786,893,4000
787,901,4000
788,842,4000
789,3520,4000
790,830,4000
791,893,4000
792,845,4000
793,844,4000
794,904,4000
795,895,4000
796,2740,4000
797,891,4000
798,868,4000
799,833,4000
800,837,4000
801,834,4000
802,799,4000
803,5363,4000
804,856,4000
805,847,4000
806,802,4000
807,850,4000
808,874,4000
809,863,4000
810,818,4000
811,3521,4000
812,829,4000
813,864,4000
814,811,4000
815,911,4000
816,873,4000
817,794,4000
818,4029,4000
819,872,4000
820,795,4000
821,851,4000
822,6457,4000
823,822,4000
824,800,4000
825,821,4000
826,817,4000
827,9934,4000
828,786,4000
829,821,4000
830,840,4000
831,848,4000
832,876,4000
833,862,4000
834,845,4000
835,773,4000
836,3602,4000
837,773,4000
838,764,4000
839,737,4000
840,758,4000
841,816,4000
842,755,4000
843,1093,4000
844,774,4000
845,827,4000
846,770,4000
847,725,4000
848,741,4000
849,6812,4000
850,715,4000
851,792,4000
852,748,4000
853,760,4000
854,747,4000
855,810,4000
856,4293,4000
857,751,4000
858,750,4000
859,733,4000
860,771,4000
861,818,4000
862,7544,4000
863,789,4000
864,746,4000
865,752,4000
866,706,4000
867,746,4000
868,15939,4000
869,663,4000
870,708,4000
871,724,4000
872,725,4000
873,799,4000
874,712,4000
875,793,4000
876,777,4000
877,2001,4000
878,812,4000
879,707,4000
880,776,4000
881,738,4000
882,12880,4000
883,794,4000
884,802,4000
885,748,4000
886,784,4000
887,708,4000
888,779,4000
889,765,4000
890,7045,4000
891,712,4000
892,762,4000
893,717,4000
894,695,4000
895,702,4000
896,728,4000
897,8377,4000
898,725,4000
899,763,4000
900,735,4000
901,739,4000
902,16735,4000
903,777,4000
904,744,4000
905,744,4000
906,786,4000
907,752,4000
908,832,4000
909,817,4000
910,758,4000
911,757,4000
912,10345,4000
913,830,4000
914,790,4000
915,769,4000
916,809,4000
917,7057,4000
918,768,4000
919,788,4000
920,801,4000
921,730,4000
922,742,4000
923,752,4000
924,6855,4000
925,776,4000
926,776,4000
927,773,4000
928,852,4000
929,791,4000
930,804,4000
931,15069,4000
932,877,4000
933,773,4000
934,797,4000
935,10826,4000
936,798,4000
937,808,4000
938,810,4000
939,754,4000
940,813,4000
941,775,4000
942,4866,4000
943,698,4000
944,786,4000
945,769,4000
946,692,4000
947,706,4000
948,703,4000
949,13542,4000
950,725,4000
951,703,4000
952,699,4000
953,717,4000
954,1124,4000
955,809,4000
956,778,4000
957,790,4000
958,812,4000
959,4277,4000
960,843,4000
961,804,4000
962,782,4000
963,771,4000
964,11365,4000
965,854,4000
966,731,4000
967,758,4000
968,756,4000
969,717,4000
970,701,4000
971,9091,4000
972,775,4000
973,741,4000
974,703,4000
975,771,4000
976,804,4000
977,775,4000
978,13095,4000
979,694,4000
980,708,4000
981,742,4000
982,698,4000
983,719,4000
984,694,4000
985,7850,4000
986,556,4000
987,491,4000
988,522,4000
989,510,4000
990,477,4000
991,512,4000
992,527,4000
993,5161,4000
994,483,4000
995,480,4000
996,483,4000
997,509,4000
998,520,4000
999,503,4000
1000,6943,4000
