iteration,workload,measured-rt(average)
519,820,18
520,793,17
521,754,19
522,844,16
523,817,16
524,772,16
525,790,19
526,735,18
527,762,16
528,793,17
529,810,15
530,785,14
531,785,15
532,778,14
533,778,17
534,733,14
535,765,15
536,786,15
537,784,18
538,754,16
539,768,15
540,831,15
541,794,17
542,823,15
543,752,16
544,784,15
545,781,15
546,803,15
547,825,15
548,802,16
549,774,15
550,763,14
551,828,16
552,784,15
553,790,16
554,815,16
555,842,17
556,831,16
557,820,15
558,786,14
559,853,16
560,820,16
561,790,16
562,807,16
563,716,16
564,798,22
565,830,17
566,755,17
567,770,16
568,783,17
569,797,17
570,808,16
571,781,16
572,779,16
573,816,15
574,819,17
575,904,17
576,765,14
577,797,16
578,773,16
579,813,16
580,824,16
581,808,16
582,800,15
583,813,15
584,861,16
585,813,16
586,860,15
587,861,15
588,868,17
589,853,18
590,838,16
591,886,19
592,807,18
593,880,16
594,866,18
595,847,16
596,793,16
597,821,16
598,913,19
599,860,17
600,878,19
601,788,15
602,840,17
603,883,17
604,925,22
605,905,17
606,892,15
607,922,17
608,909,17
609,898,18
610,946,20
611,929,18
612,874,17
613,919,18
614,971,25
615,946,17
616,898,17
617,999,18
618,972,17
619,937,17
620,954,20
621,882,17
622,967,19
623,993,25
624,1036,24
625,962,19
626,949,20
627,951,19
628,983,20
629,1034,18
630,1027,18
631,1022,19
632,1043,20
633,1047,27
634,937,17
635,945,19
636,1055,21
637,1054,19
638,1047,20
639,1066,18
640,1025,22
641,964,18
642,1082,21
643,1099,22
644,1134,20
645,1098,19
646,1020,19
647,1022,20
648,1021,16
649,1047,20
650,1050,19
651,1020,20
652,1025,28
653,1051,19
654,1029,20
655,1014,18
656,1042,20
657,1063,19
658,1057,20
659,1056,19
660,1087,22
661,1081,23
662,1080,22
663,1070,25
664,1045,19
665,1125,24
666,1114,19
667,1014,18
668,1053,20
669,1070,22
670,1087,17
671,801,35
672,352,255
673,155,847
674,274,1750
675,570,2229
676,632,2640
677,885,2976
678,921,3232
679,4949,3232
680,1058,3232
681,938,3232
682,1003,3232
683,1008,3232
684,1037,3232
685,973,3232
686,1159,3232
687,977,3232
688,967,3232
689,1074,3232
690,934,3232
691,973,3232
692,990,3232
693,975,3232
694,951,3232
695,1036,3232
696,1010,3232
697,1004,3232
698,1563,3232
699,1061,3232
700,969,3232
701,930,2906
702,1046,2906
703,983,2906
704,1021,2906
705,1013,2906
706,1063,2906
707,989,2066
708,1012,3204
709,969,3006
710,988,2473
711,998,3179
712,1097,2747
713,998,2275
714,1005,2093
715,994,2228
716,879,2301
717,3069,3025
718,1065,2933
719,1130,2774
720,1204,2809
721,993,2701
722,1219,2558
723,1158,2398
724,1120,2346
725,1025,2357
726,954,2420
